time,loop_coherence,mean_memory,baseline_mean_magnitude,full_law_mean_magnitude,baseline_mean_gain,full_law_mean_gain,slip_energy
12.1000,0.998495,0.025867,1.533041,1.639751,1.000000,1.265484,0.002334
12.1500,0.998420,0.024328,1.536682,1.655741,1.000000,1.270036,0.002373
12.2000,0.998336,0.022897,1.540218,1.671429,1.000000,1.274314,0.002413
12.2500,0.998243,0.021567,1.543650,1.686808,1.000000,1.278330,0.002457
12.3000,0.998138,0.020330,1.546980,1.701874,1.000000,1.282095,0.002503
12.3500,0.998023,0.019181,1.550211,1.716623,1.000000,1.285620,0.002551
12.4000,0.997897,0.018114,1.553345,1.731051,1.000000,1.288918,0.002602
12.4500,0.997758,0.017124,1.556385,1.745155,1.000000,1.291998,0.002655
12.5000,0.997605,0.016205,1.559333,1.758934,1.000000,1.294870,0.002711
12.5500,0.997440,0.015353,1.562191,1.772386,1.000000,1.297544,0.002768
12.6000,0.997259,0.014564,1.564961,1.785512,1.000000,1.300031,0.002828
12.6500,0.997064,0.013834,1.567646,1.798311,1.000000,1.302339,0.002891
12.7000,0.996852,0.013159,1.570247,1.810784,1.000000,1.304478,0.002955
12.7500,0.996624,0.012535,1.572767,1.822932,1.000000,1.306455,0.003021
12.8000,0.996378,0.011959,1.575208,1.834756,1.000000,1.308278,0.003089
12.8500,0.996113,0.011428,1.577571,1.846259,1.000000,1.309957,0.003158
12.9000,0.995829,0.010939,1.579859,1.857444,1.000000,1.311497,0.003229
12.9500,0.995524,0.010490,1.582073,1.868313,1.000000,1.312906,0.003301
13.0000,0.995198,0.010077,1.584216,1.878869,1.000000,1.314191,0.003374
13.0500,0.994850,0.009699,1.586288,1.889115,1.000000,1.315359,0.003449
13.1000,0.994478,0.009352,1.588292,1.899056,1.000000,1.316414,0.003524
13.1500,0.994083,0.009036,1.590230,1.908695,1.000000,1.317364,0.003600
13.2000,0.993663,0.008748,1.592103,1.918037,1.000000,1.318214,0.003676
13.2500,0.993217,0.008486,1.593913,1.927085,1.000000,1.318968,0.003753
13.3000,0.992745,0.008248,1.595661,1.935844,1.000000,1.319633,0.003830
13.3500,0.992245,0.008033,1.597349,1.944320,1.000000,1.320212,0.003907
13.4000,0.991717,0.007839,1.598978,1.952515,1.000000,1.320711,0.003984
13.4500,0.991159,0.007666,1.600550,1.960437,1.000000,1.321133,0.004060
13.5000,0.990572,0.007510,1.602066,1.968088,1.000000,1.321483,0.004136
13.5500,0.989954,0.007372,1.603527,1.975475,1.000000,1.321764,0.004212
13.6000,0.989305,0.007249,1.604935,1.982602,1.000000,1.321981,0.004287
13.6500,0.988623,0.007141,1.606292,1.989475,1.000000,1.322136,0.004360
13.7000,0.987909,0.007047,1.607597,1.996098,1.000000,1.322233,0.004433
13.7500,0.987161,0.006966,1.608854,2.002478,1.000000,1.322275,0.004504
13.8000,0.986379,0.006896,1.610062,2.008617,1.000000,1.322265,0.004574
13.8500,0.985563,0.006836,1.611222,2.014524,1.000000,1.322206,0.004642
13.9000,0.984711,0.006787,1.612337,2.020201,1.000000,1.322101,0.004708
13.9500,0.983824,0.006746,1.613407,2.025654,1.000000,1.321952,0.004773
14.0000,0.982901,0.006714,1.614434,2.030889,1.000000,1.321763,0.004835
14.0500,0.981941,0.006689,1.615417,2.035911,1.000000,1.321534,0.004895
14.1000,0.980945,0.006671,1.616359,2.040724,1.000000,1.321269,0.004953
14.1500,0.979912,0.006659,1.617260,2.045334,1.000000,1.320969,0.005009
14.2000,0.978842,0.006652,1.618121,2.049746,1.000000,1.320638,0.005062
14.2500,0.977734,0.006651,1.618944,2.053964,1.000000,1.320276,0.005112
14.3000,0.976590,0.006653,1.619729,2.057993,1.000000,1.319885,0.005159
14.3500,0.975408,0.006659,1.620477,2.061839,1.000000,1.319468,0.005204
14.4000,0.974189,0.006669,1.621189,2.065506,1.000000,1.319027,0.005245
14.4500,0.972933,0.006681,1.621865,2.068999,1.000000,1.318562,0.005284
14.5000,0.971640,0.006695,1.622508,2.072322,1.000000,1.318076,0.005319
14.5500,0.970311,0.006712,1.623117,2.075480,1.000000,1.317571,0.005351
14.6000,0.968945,0.006729,1.623694,2.078479,1.000000,1.317047,0.005379
14.6500,0.967544,0.006748,1.624239,2.081321,1.000000,1.316506,0.005405
14.7000,0.966107,0.006767,1.624753,2.084012,1.000000,1.315950,0.005426
14.7500,0.964635,0.006787,1.625237,2.086556,1.000000,1.315380,0.005445
14.8000,0.963130,0.006807,1.625692,2.088958,1.000000,1.314797,0.005460
14.8500,0.961591,0.006826,1.626118,2.091222,1.000000,1.314204,0.005471
14.9000,0.960019,0.006844,1.626517,2.093351,1.000000,1.313600,0.005478
14.9500,0.958415,0.006862,1.626889,2.095350,1.000000,1.312987,0.005482
15.0000,0.956780,0.006879,1.627134,2.097095,1.000000,1.312367,0.005483
15.0500,0.955116,0.006894,1.627233,2.098560,1.000000,1.311740,0.005479
15.1000,0.953422,0.006907,1.627191,2.099757,1.000000,1.311108,0.005473
15.1500,0.951701,0.006919,1.627013,2.100695,1.000000,1.310472,0.005462
15.2000,0.949953,0.006929,1.626705,2.101383,1.000000,1.309832,0.005448
15.2500,0.948179,0.006936,1.626270,2.101831,1.000000,1.309190,0.005431
15.3000,0.946382,0.006941,1.625714,2.102047,1.000000,1.308548,0.005410
15.3500,0.944562,0.006944,1.625042,2.102042,1.000000,1.307905,0.005385
15.4000,0.942720,0.006944,1.624259,2.101822,1.000000,1.307262,0.005357
15.4500,0.940859,0.006941,1.623369,2.101398,1.000000,1.306622,0.005326
15.5000,0.938979,0.006936,1.622377,2.100777,1.000000,1.305984,0.005291
15.5500,0.937083,0.006927,1.621286,2.099969,1.000000,1.305349,0.005254
15.6000,0.935172,0.006916,1.620103,2.098980,1.000000,1.304719,0.005213
15.6500,0.933247,0.006901,1.618830,2.097820,1.000000,1.304093,0.005169
15.7000,0.931311,0.006884,1.617472,2.096497,1.000000,1.303474,0.005122
15.7500,0.929365,0.006863,1.616034,2.095017,1.000000,1.302861,0.005072
15.8000,0.927411,0.006839,1.614518,2.093389,1.000000,1.302255,0.005020
15.8500,0.925451,0.006812,1.612930,2.091620,1.000000,1.301658,0.004965
15.9000,0.923486,0.006781,1.611274,2.089718,1.000000,1.301069,0.004908
15.9500,0.921520,0.006748,1.609552,2.087689,1.000000,1.300489,0.004848
16.0000,0.919553,0.006711,1.607769,2.085542,1.000000,1.299920,0.004786
16.0500,0.917588,0.006671,1.605929,2.083282,1.000000,1.299361,0.004722
16.1000,0.915626,0.006628,1.604035,2.080917,1.000000,1.298813,0.004656
16.1500,0.913670,0.006582,1.602091,2.078453,1.000000,1.298278,0.004588
16.2000,0.911722,0.006533,1.600101,2.075897,1.000000,1.297754,0.004519
16.2500,0.909784,0.006482,1.598067,2.073256,1.000000,1.297243,0.004448
16.3000,0.907858,0.006427,1.595993,2.070535,1.000000,1.296745,0.004376
16.3500,0.905946,0.006370,1.593883,2.067741,1.000000,1.296262,0.004302
16.4000,0.904049,0.006310,1.591740,2.064880,1.000000,1.295792,0.004228
16.4500,0.902171,0.006247,1.589567,2.061957,1.000000,1.295337,0.004153
16.5000,0.900314,0.006182,1.587367,2.058979,1.000000,1.294896,0.004077
16.5500,0.898478,0.006115,1.585143,2.055952,1.000000,1.294471,0.004000
16.6000,0.896667,0.006045,1.582898,2.052880,1.000000,1.294062,0.003923
16.6500,0.894883,0.005974,1.580636,2.049769,1.000000,1.293668,0.003846
16.7000,0.893127,0.005900,1.578360,2.046625,1.000000,1.293291,0.003769
16.7500,0.891401,0.005825,1.576071,2.043453,1.000000,1.292930,0.003692
16.8000,0.889708,0.005748,1.573773,2.040258,1.000000,1.292586,0.003616
16.8500,0.888049,0.005670,1.571469,2.037044,1.000000,1.292259,0.003540
16.9000,0.886426,0.005591,1.569161,2.033817,1.000000,1.291949,0.003465
16.9500,0.884842,0.005510,1.566852,2.030581,1.000000,1.291656,0.003390
